parcel_id,stage,statutory_days,actual_days,elapsed_days,status,delay_days,delay_flag
PRCL_0000000,SIA,180,200,200,completed,20,1
PRCL_0000001,SIA,180,185,185,completed,5,1
PRCL_0000002,SIA,180,149,149,completed,-31,0
PRCL_0000003,SIA,180,198,198,completed,18,1
PRCL_0000004,SIA,180,204,204,completed,24,1
PRCL_0000005,SIA,180,223,223,completed,43,1
PRCL_0000006,SIA,180,166,166,completed,-14,0
PRCL_0000007,SIA,180,160,160,completed,-20,0
PRCL_0000008,SIA,180,177,177,completed,-3,0
PRCL_0000009,SIA,180,156,156,completed,-24,0
PRCL_0000010,SIA,180,170,170,completed,-10,0
PRCL_0000011,SIA,180,212,212,completed,32,1
PRCL_0000012,SIA,180,169,169,completed,-11,0
PRCL_0000013,SIA,180,184,184,completed,4,1
PRCL_0000014,SIA,180,213,213,completed,33,1
PRCL_0000015,SIA,180,201,201,completed,21,1
PRCL_0000016,SIA,180,174,174,completed,-6,0
PRCL_0000017,SIA,180,166,166,completed,-14,0
PRCL_0000018,SIA,180,148,148,completed,-32,0
PRCL_0000019,SIA,180,161,161,completed,-19,0
PRCL_0000020,SIA,180,214,214,completed,34,1
PRCL_0000021,SIA,180,180,180,completed,0,0
PRCL_0000022,SIA,180,196,196,completed,16,1
PRCL_0000023,SIA,180,202,202,completed,22,1
PRCL_0000024,SIA,180,251,251,completed,71,1
PRCL_0000025,SIA,180,196,196,completed,16,1
PRCL_0000026,SIA,180,186,186,completed,6,1
PRCL_0000027,SIA,180,149,149,completed,-31,0
PRCL_0000028,SIA,180,196,196,completed,16,1
PRCL_0000029,SIA,180,164,164,completed,-16,0
PRCL_0000030,SIA,180,200,200,completed,20,1
PRCL_0000031,SIA,180,197,197,completed,17,1
PRCL_0000032,SIA,180,176,176,completed,-4,0
PRCL_0000033,SIA,180,183,183,completed,3,1
PRCL_0000034,SIA,180,189,189,completed,9,1
PRCL_0000035,SIA,180,187,187,completed,7,1
PRCL_0000036,SIA,180,218,218,completed,38,1
PRCL_0000037,SIA,180,144,144,completed,-36,0
PRCL_0000038,SIA,180,216,216,completed,36,1
PRCL_0000039,SIA,180,202,202,completed,22,1
PRCL_0000040,SIA,180,190,190,completed,10,1
PRCL_0000041,SIA,180,214,214,completed,34,1
PRCL_0000042,SIA,180,154,154,completed,-26,0
PRCL_0000043,SIA,180,220,220,completed,40,1
PRCL_0000044,SIA,180,173,173,completed,-7,0
PRCL_0000045,SIA,180,223,223,completed,43,1
PRCL_0000046,SIA,180,191,191,completed,11,1
PRCL_0000047,SIA,180,227,227,completed,47,1
PRCL_0000048,SIA,180,243,243,completed,63,1
PRCL_0000049,SIA,180,169,169,completed,-11,0
