project_id,project_type,spatial_type,coord_path,affected_families,compensation_status,rehab_progress_pct,stakeholder_responsiveness,historical_performance_score,state,state_code,district,tehsil
UK-DAM-0001,dam,point,"[[30.4518, 78.5424]]",506,partial,99.29,0.466,0.744,Uttarakhand,UK,Tehri Garhwal,Tehri Garhwal_Tehsil_1
PB-RDH-0001,road,linear,"[[31.1223, 75.5997], [30.7844, 75.7402], [31.2694, 76.0782], [31.4669, 76.3077], [31.4706, 76.6313], [31.3946, 76.9105]]",50,paid,88.92,0.738,0.481,Punjab,PB,Jalandhar,Jalandhar_Tehsil_1
PB-DAM-0001,dam,point,"[[31.6308, 75.1817]]",645,paid,72.37,0.439,0.631,Punjab,PB,Amritsar,Amritsar_Tehsil_3
UK-IRR-0001,irrigation,point,"[[29.8246, 78.0375]]",160,pending,94.92,0.684,0.66,Uttarakhand,UK,Haridwar,Haridwar_Tehsil_3
HP-IRR-0001,irrigation,point,"[[31.9417, 77.156], [32.08, 76.983]]",155,paid,88.1,0.573,0.459,Himachal Pradesh,HP,Kullu,Kullu_Tehsil_2
PB-IND-0001,industrial,point,"[[31.222, 75.4803], [31.0722, 75.4742]]",38,paid,88.37,0.719,0.639,Punjab,PB,Kapurthala,Kapurthala_Tehsil_2
PB-DAM-0002,dam,point,"[[30.4033, 74.3664]]",74,partial,81.87,0.71,0.681,Punjab,PB,Sri Muktsar Sahib,Sri Muktsar Sahib_Tehsil_1
PB-RDH-0002,road,point,"[[31.1223, 75.5997]]",20,partial,92.94,0.721,0.578,Punjab,PB,Jalandhar,Jalandhar_Tehsil_1
UK-RDH-0001,road,point,"[[30.3419, 78.9874]]",45,partial,96.6,0.787,0.886,Uttarakhand,UK,Rudraprayag,Rudraprayag_Tehsil_1
PB-IRR-0001,irrigation,point,"[[30.3383, 73.9233]]",274,paid,83.25,0.695,0.661,Punjab,PB,Fazilka,Fazilka_Tehsil_1
HP-IRR-0002,irrigation,point,"[[31.5291, 78.4709]]",68,pending,95.4,0.752,0.621,Himachal Pradesh,HP,Kinnaur,Kinnaur_Tehsil_3
HP-RDH-0001,road,point,"[[31.0281, 77.0602]]",22,partial,100.0,0.559,0.615,Himachal Pradesh,HP,Solan,Solan_Tehsil_1
HP-RLY-0001,rail,point,"[[31.6039, 78.254], [31.5195, 78.4374]]",51,partial,74.87,0.646,0.676,Himachal Pradesh,HP,Kinnaur,Kinnaur_Tehsil_2
HP-DAM-0001,dam,point,"[[31.325, 78.4365]]",159,paid,81.31,0.596,0.559,Himachal Pradesh,HP,Kinnaur,Kinnaur_Tehsil_2
